playlist_id	owner_id	x_owner_group	streams	stream30s	dau	wau	mau	mau_previous_month	mau_both_months	users	skippers	owner_country	n_tracks	n_local_tracks	n_artists	n_albums	monthly_stream30s	monthly_owner_stream30s	genre_1	genre_2	genre_3	mood_1	mood_2	mood_3	tokens	x_estimated_revenue_usd	x_ratio_streams_above_30s_threshold	x_retention_rate_m	x_ratio_skippers_d	x_projected_engaging_time_in_min	x_projected_engaging_time_in_hour	x_projected_engaging_time_in_day	x_mininum_engaing_time_per_user	x_playlist_type_by_artist	x_playlist_type_by_album	x_playlist_type_by_artist_by_album
4ecQaDJHF55Ls9m2lKIXbI	spotify	spotify	280422	198981	17480	80832	222571	329108	88410	561010	6827	US	51	0	45	47	7101277	10	country & folk	spoken & audio	alternative	upbeat	yearning	empowering	ultimate, country	1392.867	0.7096	0.2686	0.0122	178.50	2.98	0.12	0.18	various_artist	various_album	various_artist_various_album
6XVhyMuFRS1212blJHTED4	a19ebea5b5c28f3eff7f45167f7f3b1c	non-spotify	293283	173753	18290	71891	206756	190026	59049	439699	11755	US	522	0	448	501	5098585	40	dance & house	electronica	pop	excited	aggressive	energizing	edm, updated, daily, house, music, party, electronic, dance, progressive, house, trance, tomorrowland, tomorrowworld, edc, electric, zoo, ultra, music, festival, pregame, hardwell, dimitri, vegas, tiesto, 	1216.271	0.5924	0.3107	0.0267	1827.00	30.45	1.27	0.20	various_artist	various_album	various_artist_various_album
0i0KOEPUK7pA1A5A29ulk4	spotify	spotify	217215	171930	14768	63149	189297	161926	24220	425719	7335	US	65	0	60	63	3196805	7	pop	indie rock	rock	yearning	excited	empowering	hanging, relaxing	1203.510	0.7915	0.1496	0.0172	227.50	3.79	0.16	0.20	various_artist	various_album	various_artist_various_album
103Zi2NG06F9qimASDrszv	spotify	spotify	306687	169082	19631	76700	266495	334421	51796	731904	13632	US	81	0	77	77	3599989	0	dance & house	rap	pop	excited	defiant	aggressive	summer, party	1183.574	0.5513	0.1549	0.0186	283.50	4.73	0.20	0.12	various_artist	various_album	various_artist_various_album
6uTuhSs7qiEPfCI3QDHXsL	spotify	spotify	232490	146048	13846	70322	262133	362881	68399	722658	7197	US	104	0	99	101	5290070	3	pop	indie rock	rock	energizing	excited	yearning	mood, booster	1022.336	0.6282	0.1885	0.0100	364.00	6.07	0.25	0.10	various_artist	various_album	various_artist_various_album
5Oo5QuAOjjXMMXphFqC6eo	spotify	spotify	216559	142918	19275	66811	226572	270507	50284	676617	17022	US	210	0	1	1	3404401	6	dance & house	electronica	pop	excited	sensual	energizing	weekend, hangouts	1000.426	0.6599	0.1859	0.0252	735.00	12.25	0.51	0.11	single_artist	single_album	single_artist_single_album
5tA2x3J6yAaJpa7mHGvhmB	spotify	spotify	219996	139863	13720	73097	203179	35745	15362	283754	7838	US	200	0	100	100	4202624	1	country & folk	pop	rock	upbeat	yearning	empowering	top, country, tracks, spotify	979.041	0.6358	0.4298	0.0276	700.00	11.67	0.49	0.25	various_artist	various_album	various_artist_various_album
7uDoSz5VxK5lbXgj7tBMG9	spotify	spotify	236234	131955	15707	56234	204848	233325	37863	547574	9602	US	41	0	41	41	2571478	0	pop	rap	r&b	excited	energizing	defiant	night	923.685	0.5586	0.1623	0.0175	143.50	2.39	0.10	0.12	various_artist	various_album	various_artist_various_album
2jvJnYj1DfCT1tX0Otp8z7	spotify	spotify	210551	130665	11129	58283	181203	196280	42080	437889	7374	US	95	0	87	91	4232432	2	pop	r&b	indie rock	empowering	sophisticated	yearning	pop, ballads	914.655	0.6206	0.2144	0.0168	332.50	5.54	0.23	0.15	various_artist	various_album	various_artist_various_album
4dJHrPYVdKgaCE3Lxrv1MZ	spotify	spotify	200943	128842	15430	87757	285244	242113	67057	617340	12187	US	100	0	100	99	4607037	0	indie rock	alternative	rock	yearning	brooding	defiant	top, indie, tracks, spotify	901.894	0.6412	0.2770	0.0197	350.00	5.83	0.24	0.10	various_artist	various_album	various_artist_various_album
04MJzJlzOoy5bTytJwDsVL	spotify	spotify	252309	124903	16480	68518	278966	448102	75371	917174	11888	US	296	0	1	1	4178965	8	dance & house	electronica	pop	excited	aggressive	energizing	dance, mega, mix	874.321	0.4950	0.1682	0.0130	1036.00	17.27	0.72	0.07	single_artist	single_album	single_artist_single_album
59ZbFPES4DQwEjBpWHzrtC	spotify	spotify	142593	124558	7171	29223	90411	77070	11895	206712	3299	US	108	0	106	108	2247361	0	pop	r&b	rock	empowering	sophisticated	melancholy	dinner, friends	871.906	0.8735	0.1543	0.0160	378.00	6.30	0.26	0.30	various_artist	various_album	various_artist_various_album
444MDFpUraOidJU5nTYI6n	spotify	spotify	209535	120858	13322	62398	190296	168663	29145	437494	9252	US	104	0	102	101	2694381	11	dance & house	pop	indie rock	energizing	excited	yearning	wild, free	846.006	0.5768	0.1728	0.0211	364.00	6.07	0.25	0.14	various_artist	various_album	various_artist_various_album
4wtLaWQcPct5tlAWTxqjMD	spotify	spotify	165079	120017	11919	43467	124227	97583	20320	276811	7613	US	149	0	145	147	2454118	3	indie rock	alternative	rock	excited	brooding	yearning	happy, hipster	840.119	0.7270	0.2082	0.0275	521.50	8.69	0.36	0.22	various_artist	various_album	various_artist_various_album
2ujjMpFriZ2nayLmrD1Jgl	spotify	spotify	135929	115674	11212	86911	265016	240448	50224	625116	6844	US	91	0	54	83	5424456	6	indie rock	electronica	alternative	melancholy	yearning	romantic	deep, focus	809.718	0.8510	0.2089	0.0109	318.50	5.31	0.22	0.09	various_artist	various_album	various_artist_various_album
1GQLlzxBxKTb6tJsD4RxHI	spotify	spotify	206610	111885	17727	79911	230375	249319	57374	640684	16561	US	98	0	48	48	2955288	2	dance & house	electronica	pop	excited	aggressive	energizing	fresh, dance, tracks	783.195	0.5415	0.2301	0.0258	343.00	5.72	0.24	0.09	various_artist	various_album	various_artist_various_album
5RBLLfOQTz1YNQ9Yu7kuZp	spotify	spotify	190273	106569	11241	49577	151385	127024	21224	350075	7768	US	98	0	96	98	2383092	0	pop	indie rock	r&b	excited	yearning	energizing	young, love	745.983	0.5601	0.1671	0.0222	343.00	5.72	0.24	0.15	various_artist	various_album	various_artist_various_album
63dDpdoVHvx5RkK87g4LKk	spotify	spotify	118664	102102	8285	57556	178785	122123	25727	344559	3841	US	47	0	42	42	3766661	0	classical	new age	alternative	tender	serious	peaceful	peaceful, piano	714.714	0.8604	0.2107	0.0111	164.50	2.74	0.11	0.15	various_artist	various_album	various_artist_various_album
76h0bH2KJhiBuLZqfvPp3K	spotify	spotify	212248	98896	14582	81297	271133	197929	42815	578081	13696	US	100	0	100	100	2885107	1	r&b	pop	rap	sensual	defiant	sophisticated	top, tracks, spotify	692.272	0.4659	0.2163	0.0237	350.00	5.83	0.24	0.09	various_artist	various_album	various_artist_various_album
19PgP2QSGPcm6Ve8VhbtpG	e60d19313a8df36c7e6cf59e259e0d66	non-spotify	205294	98395	8753	39984	91095	52365	8769	159448	4959	US	705	0	182	187	1719615	16	rock	alternative	pop	excited	energizing	urgent	smash, playlist, time, billy, cyndi, paul, bruce	688.765	0.4793	0.1675	0.0311	2467.50	41.13	1.71	0.31	various_artist	various_album	various_artist_various_album
5p9ILyu1wb4KKHORoXU8nb	spotify	spotify	192830	95495	13254	81365	235591	223459	52295	572246	10163	US	113	0	106	108	3249247	1	rap	metal	electronica	defiant	cool	energizing	power, workout	668.465	0.4952	0.2340	0.0178	395.50	6.59	0.27	0.08	various_artist	various_album	various_artist_various_album
2yQuxmP152cS0MFKgnDP2U	spotify	spotify	109268	95055	6501	45886	158601	180831	33609	393935	3773	US	50	0	48	49	3278231	3	indie rock	alternative	country & folk	sentimental	melancholy	gritty	evening, acoustic	665.385	0.8699	0.1859	0.0096	175.00	2.92	0.12	0.12	various_artist	various_album	various_artist_various_album
1ZlYbJOdgIXQ3uegI4siME	spotify	spotify	137371	91415	10614	45920	133820	114905	28035	272460	5726	US	40	0	38	38	2713783	5	country & folk	spoken & audio	pop	upbeat	yearning	empowering	wild, country	639.905	0.6655	0.2440	0.0210	140.00	2.33	0.10	0.17	various_artist	various_album	various_artist_various_album
0ExbFrTy6ypLj9YYNMTnmd	spotify	spotify	104862	87290	9360	76943	231792	175464	39856	515379	5628	US	121	0	1	1	3668188	0	classical	soundtrack	other	tender	serious	romantic	intense, studying	611.030	0.8324	0.2271	0.0109	423.50	7.06	0.29	0.08	single_artist	single_album	single_artist_single_album
0geFu4KbbAGl6Fteod0QoW	spotify	spotify	106997	80488	8924	28980	43996	24119	2757	90695	5321	US	60	0	60	60	525335	1	indie rock	alternative	rock	excited	upbeat	rowdy	ready, day	563.416	0.7522	0.1143	0.0587	210.00	3.50	0.15	0.44	various_artist	various_album	various_artist_various_album
4jCr1WuRoFiUbcqlja4dWR	spotify	spotify	140730	79396	9343	48396	141963	129764	32922	330970	5823	US	244	0	113	115	2464390	2	dance & house	pop	rap	excited	aggressive	defiant	house, workout	555.772	0.5642	0.2537	0.0176	854.00	14.23	0.59	0.12	various_artist	various_album	various_artist_various_album
0eDq2STmk8tKcD7qWCwrze	spotify	spotify	97167	79247	6839	46322	117780	86596	14355	252145	4715	US	81	0	71	77	2009179	2	indie rock	alternative	electronica	sensual	sophisticated	brooding	evening, chill	554.729	0.8156	0.1658	0.0187	283.50	4.73	0.20	0.16	various_artist	various_album	various_artist_various_album
3qu74M0PqlkSV76f98aqTd	spotify	spotify	152867	79166	12829	74191	258400	207825	44099	578269	13038	US	100	0	100	100	2514937	0	alternative	punk	indie rock	defiant	urgent	yearning	top, rock, tracks, spotify	554.162	0.5179	0.2122	0.0225	350.00	5.83	0.24	0.07	various_artist	various_album	various_artist_various_album
445ES7sgFV8zJHebmbUW0L	spotify	spotify	142001	76650	10967	36923	93274	52154	11610	179082	8096	US	78	0	62	71	1243427	4	pop	children's	country & folk	excited	sensual	yearning	teen	536.550	0.5398	0.2226	0.0452	273.00	4.55	0.19	0.21	various_artist	various_album	various_artist_various_album
4MNCftvCERT8MreHSpoRPe	spotify	spotify	111985	76298	5318	43135	97437	52578	12598	179859	3464	US	177	0	1	1	2687732	6	pop	rock	indie rock	empowering	yearning	sophisticated	soft, pop, hits	534.086	0.6813	0.2396	0.0193	619.50	10.33	0.43	0.21	single_artist	single_album	single_artist_single_album
3hojaDtnWmBFMGvnMu5Lqj	spotify	spotify	128087	72614	8212	48517	149700	154295	27762	365440	6284	US	42	0	39	39	2142952	1	pop	dance & house	indie rock	excited	energizing	empowering	pop, right	508.298	0.5669	0.1799	0.0172	147.00	2.45	0.10	0.10	various_artist	various_album	various_artist_various_album
4Jt88XxhP2Jldzh1t3QbyF	spotify	spotify	148279	69953	8194	40988	105990	73244	13612	221369	5493	US	81	0	77	79	1507885	4	pop	rap	r&b	defiant	excited	energizing	dance, workout	489.671	0.4718	0.1858	0.0248	283.50	4.73	0.20	0.16	various_artist	various_album	various_artist_various_album
3IWEp81rnAsLo5Z4DferTi	spotify	spotify	110401	69568	8181	44533	103609	1767	526	138595	5878	US	202	0	87	87	1574466	17	r&b	electronica	dance & house	sensual	brooding	energizing	alternative	486.976	0.6301	0.2977	0.0424	707.00	11.78	0.49	0.25	various_artist	various_album	various_artist_various_album
1yHZ5C3penaxRdWR7LRIOb	spotify	spotify	137529	69313	10380	143516	352464	395305	101214	910599	7959	US	67	0	62	64	5230998	34	indie rock	alternative	dance & house	sensual	yearning	excited	new, music, tuesday	485.191	0.5040	0.2560	0.0087	234.50	3.91	0.16	0.04	various_artist	various_album	various_artist_various_album
5O2ERf8kAYARVVdfCKZ9G7	spotify	spotify	75539	68229	6249	32619	105896	106205	22575	244931	3112	US	55	0	55	55	2027543	1	jazz	easy listening	classical	sentimental	romantic	melancholy	coffee, table, jazz	477.603	0.9032	0.2126	0.0127	192.50	3.21	0.13	0.14	various_artist	various_album	various_artist_various_album
2ikvjqFDwalfKdCHkxn79O	spotify	spotify	97933	64995	5533	40914	59994	9184	1670	88905	2952	US	81	0	69	73	1301916	4	indie rock	alternative	pop	yearning	defiant	urgent	indie	454.965	0.6637	0.1818	0.0332	283.50	4.73	0.20	0.37	various_artist	various_album	various_artist_various_album
3kjNcwrUClSp1Iatukq3TC	spotify	spotify	79529	64096	6615	31030	99271	101603	25502	244888	3971	US	58	0	57	57	1818648	0	dance & house	electronica	pop	sensual	aggressive	excited	lounge, soft, house	448.672	0.8059	0.2510	0.0162	203.00	3.38	0.14	0.13	various_artist	various_album	various_artist_various_album
76yJDDnhV3TPgJ4R6EmrLn	spotify	spotify	156560	64060	8300	38256	130302	101870	21651	298327	7066	US	186	0	173	178	1717547	1	rap	pop	r&b	defiant	excited	cool	other	448.420	0.4092	0.2125	0.0237	651.00	10.85	0.45	0.11	various_artist	various_album	various_artist_various_album
0mTqANDkS6KLEGGKBKXPPe	spotify	spotify	76777	63308	5181	29977	101979	71018	13158	207550	2959	US	51	0	41	50	1762311	0	indie rock	rock	alternative	melancholy	empowering	brooding	cozy, evening	443.156	0.8246	0.1853	0.0143	178.50	2.98	0.12	0.15	various_artist	various_album	various_artist_various_album
7dvIeoskAWdAkfa0J8rmrM	spotify	spotify	94794	61586	5872	34810	125755	112866	20230	287010	4287	US	72	0	69	66	2195204	0	pop	r&b	indie rock	sophisticated	empowering	excited	love, pop	431.102	0.6497	0.1792	0.0149	252.00	4.20	0.18	0.11	various_artist	various_album	various_artist_various_album
6NCfeirBIrZfYcs9kwnS3x	spotify	spotify	73709	61530	5799	29194	61501	25276	5016	106894	3435	US	82	0	76	79	901956	12	indie rock	country & folk	rock	melancholy	gritty	empowering	autumn, acoustics	430.710	0.8348	0.1984	0.0321	287.00	4.78	0.20	0.29	various_artist	various_album	various_artist_various_album
3jtuOxsrTRAWvPPLvlW1VR	spotify	spotify	109304	61132	9051	55326	196227	181446	42534	478982	9976	US	100	0	100	100	2119701	0	alternative	indie rock	rock	defiant	yearning	empowering	top, alternative, tracks, spotify	427.924	0.5593	0.2344	0.0208	350.00	5.83	0.24	0.06	various_artist	various_album	various_artist_various_album
1B9o7mER9kfxbmsRH9ko4z	spotify	spotify	79743	60646	4784	51076	130315	88370	14657	276442	2930	US	76	0	68	68	2317736	4	r&b	rock	jazz	lively	cool	upbeat	good	424.522	0.7605	0.1659	0.0106	266.00	4.43	0.18	0.11	various_artist	various_album	various_artist_various_album
2SSEozHbLRKueJBM7LAlAo	spotify	spotify	111622	59863	5496	39830	108444	79091	18282	218417	3907	US	126	0	116	121	2404015	5	pop	dance & house	indie rock	excited	energizing	defiant	workday, pop	419.041	0.5363	0.2312	0.0179	441.00	7.35	0.31	0.14	various_artist	various_album	various_artist_various_album
06CemleTteSalaVGVMbgFy	spotify	spotify	111169	56872	6962	36671	104277	53843	12567	193163	5280	US	102	0	93	96	1541372	2	r&b	rap	pop	sensual	defiant	energizing	fresh	398.104	0.5116	0.2334	0.0273	357.00	5.95	0.25	0.15	various_artist	various_album	various_artist_various_album
6VFQeQWFz2WgvSZrpJ7uuy	spotify	spotify	96815	56197	5714	30943	119139	101929	17050	271979	4097	US	632	0	136	145	1732756	2	r&b	rap	pop	sensual	energizing	cool	love	393.379	0.5805	0.1673	0.0151	2212.00	36.87	1.54	0.10	various_artist	various_album	various_artist_various_album
2YoVrFsJPvunjHQYfM12cP	spotify	spotify	81179	54815	5619	40859	133639	162542	31865	371750	3313	US	50	0	45	49	2488194	1	indie rock	alternative	rock	urgent	defiant	brooding	hot, alternative	383.705	0.6752	0.1960	0.0089	175.00	2.92	0.12	0.07	various_artist	various_album	various_artist_various_album
0CoQk8bVPF1famEAZ5BYE4	spotify	spotify	110350	54754	6925	39336	126667	116667	34789	277871	4653	US	54	0	49	53	2187782	6	indie rock	pop	dance & house	yearning	sensual	energizing	viral, us	383.278	0.4962	0.2982	0.0167	189.00	3.15	0.13	0.10	various_artist	various_album	various_artist_various_album
1ewJMPn8IYsjGCqI1n5dfV	spotify	spotify	76055	54189	5122	27932	124679	135026	22088	328161	3172	US	113	0	106	112	2280851	0	indie rock	alternative	pop	yearning	empowering	excited	smart, new, sexy	379.323	0.7125	0.1636	0.0097	395.50	6.59	0.27	0.08	various_artist	various_album	various_artist_various_album
7r3RldkEron0dbIi0YQEkm	spotify	spotify	67511	54039	5319	33774	85834	48624	6377	181648	3679	US	79	0	72	76	1166224	2	indie rock	alternative	pop	upbeat	yearning	defiant	happy, home	378.273	0.8004	0.1311	0.0203	276.50	4.61	0.19	0.15	various_artist	various_album	various_artist_various_album
2KA9gcQc6U4qGykxRpS4DX	spotify	spotify	111786	53813	9474	23783	43635	29901	2550	118004	8093	US	27	0	25	26	257528	3	r&b	pop	rap	excited	energizing	sensual	party, starter	376.691	0.4814	0.0853	0.0686	94.50	1.58	0.07	0.23	various_artist	various_album	various_artist_various_album
0XUlpafP8eIlIWt3VHSd7q	spotify	spotify	73994	53242	4753	24106	86059	113883	19482	238647	2965	US	237	0	198	229	1844301	7	indie rock	alternative	rock	yearning	empowering	brooding	feel, good, indie, rock	372.694	0.7195	0.1711	0.0124	829.50	13.83	0.58	0.11	various_artist	various_album	various_artist_various_album
3I5PiqsI5OQh83gbG6PRJH	dc3bdd3ea9a21cddc050e8b1c7240c63	non-spotify	86821	49962	2629	10160	28020	22036	5535	69034	1662	US	790	57	552	574	1351295	1	dance & house	electronica	rap	excited	defiant	energizing	ultimate, playlist	349.734	0.5755	0.2512	0.0241	2765.00	46.08	1.92	0.36	various_artist	various_album	various_artist_various_album
67rsdtfs0BJIiQYQWKQU95	spotify	spotify	59161	49168	5305	27805	109618	103010	12291	304973	4474	US	64	0	59	47	1392913	0	dance & house	alternative	electronica	sensual	brooding	excited	chill, music	344.176	0.8311	0.1193	0.0147	224.00	3.73	0.16	0.08	various_artist	various_album	various_artist_various_album
2lDJ2xtmpCSN9CO7ZBkIVc	spotify	spotify	75984	48012	4101	36510	101083	111176	23059	243211	1817	US	103	0	96	102	2435551	6	indie rock	alternative	pop	defiant	excited	energizing	morning, commute	336.084	0.6319	0.2074	0.0075	360.50	6.01	0.25	0.10	various_artist	various_album	various_artist_various_album
3i3jnTWkJKqDTJHkUSZsRl	spotify	spotify	56778	47760	5440	34426	95154	77561	11088	217435	3661	US	51	0	48	50	1288068	1	alternative	pop	electronica	melancholy	sentimental	romantic	smooth, morning	334.320	0.8412	0.1430	0.0168	178.50	2.98	0.12	0.11	various_artist	various_album	various_artist_various_album
