playlist_id	owner_id	x_owner_group	streams	stream30s	dau	wau	mau	mau_previous_month	mau_both_months	users	skippers	owner_country	n_tracks	n_local_tracks	n_artists	n_albums	monthly_stream30s	monthly_owner_stream30s	genre_1	genre_2	genre_3	mood_1	mood_2	mood_3	tokens	x_estimated_revenue_usd	x_ratio_streams_above_30s_threshold	x_retention_rate_m	x_ratio_skippers_d	x_projected_engaging_time_in_min	x_projected_engaging_time_in_hour	x_projected_engaging_time_in_day	x_mininum_engaing_time_per_user	x_playlist_type_by_artist	x_playlist_type_by_album	x_playlist_type_by_artist_by_album
4ykrONBhOgPr4sMhAVCoPx	6987037f34b5cee787a1a5e8de9b2689	non-spotify	73379	34587	4129	18051	38702	20625	8041	64548	2616	US	76	0	75	71	699432	20	rap	r&b	pop	defiant	sensual	energizing	hip, hop, hits, tell, updated, kendrick, nicki, schoolboy, jeezy	242.109	0.4713	0.3899	0.0405	266.00	4.43	0.18	0.27	various_artist	various_album	various_artist_various_album
4ANVDtJVtVMVc2Nk79VU1M	e60d19313a8df36c7e6cf59e259e0d66	non-spotify	67681	33966	3711	26121	62274	116471	12701	230005	2855	US	104	0	101	103	965115	1	pop	country & folk	rap	defiant	excited	energizing	top, charts, playlist	237.762	0.5019	0.1090	0.0124	364.00	6.07	0.25	0.07	various_artist	various_album	various_artist_various_album
1SvdCw4FMhqxo7dj8uYNxb	spotify	spotify	45285	33526	3510	18967	36832	31838	4907	85397	2621	US	127	0	110	122	585640	1	electronica	indie rock	dance & house	sensual	brooding	excited	indie, electronica	234.682	0.7403	0.1541	0.0307	444.50	7.41	0.31	0.20	various_artist	various_album	various_artist_various_album
2VLmtGBcFvkkhT33CW6NJa	spotify	spotify	58050	32808	4179	23944	77969	65428	11120	191453	3239	US	106	0	53	53	974851	0	pop	electronica	indie rock	excited	yearning	defiant	hiit	229.656	0.5652	0.1700	0.0169	371.00	6.18	0.26	0.09	various_artist	various_album	various_artist_various_album
3uLbbdNhIs5eU5IN5Fyda4	spotify	spotify	40228	32253	2631	7827	9749	0	0	12072	1227	US	39	0	39	39	142560	1	pop	indie rock	alternative	excited	yearning	defiant	sunny, side	225.771	0.8018	0.0000	0.1016	136.50	2.28	0.09	1.34	various_artist	various_album	various_artist_various_album
7jyyxDxMmtNs1UeLEOpJcE	spotify	spotify	39670	31498	2758	15592	71603	99343	12862	216829	1646	US	90	0	79	88	1257886	0	pop	indie rock	alternative	melancholy	empowering	yearning	songs, sunsets	220.486	0.7940	0.1295	0.0076	315.00	5.25	0.22	0.07	various_artist	various_album	various_artist_various_album
1RyeIbyFeIJVnNzlGr5KkR	9fe04aabaa2534b13e89a9d31ac3e77d	non-spotify	69235	31322	3069	17243	64093	70976	9313	158254	2184	US	437	11	306	340	1193203	13	pop	rock	alternative	excited	energizing	urgent	baby	219.254	0.4524	0.1312	0.0138	1529.50	25.49	1.06	0.10	various_artist	various_album	various_artist_various_album
6A3BCaAJ8O84lo58qgijvw	spotify	spotify	49158	31127	4711	30856	116427	131460	17878	382105	4520	US	26	0	1	1	1020043	0	alternative	punk	indie rock	excited	urgent	empowering	running, mid, tempo, bpm	217.889	0.6332	0.1360	0.0118	91.00	1.52	0.06	0.04	single_artist	single_album	single_artist_single_album
7iiRP3LZPuuoE4dBWWufkw	spotify	spotify	55528	31100	3528	20533	63392	60572	8264	142251	2190	US	60	0	55	56	926224	0	alternative	rock	punk	empowering	rowdy	defiant	bring, back	217.700	0.5601	0.1364	0.0154	210.00	3.50	0.15	0.11	various_artist	various_album	various_artist_various_album
570tVSLPdLnRU0z0bqd8Wk	spotify	spotify	38459	31072	2512	13432	44606	41993	6563	96567	1110	US	71	0	71	71	821959	2	jazz	pop	r&b	sophisticated	romantic	sentimental	women, jazz	217.504	0.8079	0.1563	0.0115	248.50	4.14	0.17	0.16	various_artist	various_album	various_artist_various_album
